RES_PERSON_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,BIRTH_DATE,SEX,SSN,DEATH_DATE,DECEASED_IND
5049,ISLA,,SINGH,1971-10-11,F,***-**-5049,,
5050,BEN,,BROWN,1994-06-22,F,***-**-5050,,
5051,ROBERT,,ZHOU,1984-09-16,M,***-**-5051,,
5052,ALAN,,KIM,1992-04-11,F,***-**-5052,,
5053,ISLA,,DOE,1996-05-17,M,***-**-5053,,
5054,AVA,,RIVERA,1989-06-23,F,***-**-5054,,
5055,ALAN,,LEE,1984-11-11,M,***-**-5055,,
5056,SAM,,CHEN,1971-08-28,F,***-**-5056,,
5057,PAT,,SINGH,1972-03-26,M,***-**-5057,,
5058,LIAM,,WILSON,1990-11-11,F,***-**-5058,,
5059,MIA,,WILSON,1989-02-08,M,***-**-5059,,
5060,LEO,,SINGH,1985-10-06,M,***-**-5060,,
5061,MIA,,WILSON,1978-01-16,M,***-**-5061,,
5062,LUCY,,KELLY,1976-02-11,F,***-**-5062,,
5063,SAM,,CHEN,1989-01-17,M,***-**-5063,,
5064,ROBERT,,KELLY,1987-09-16,M,***-**-5064,,
5065,LUCY,,KELLY,1974-03-23,M,***-**-5065,,
5066,ETHAN,,KIM,1977-12-06,F,***-**-5066,,
5067,ISLA,,CHEN,1980-09-17,F,***-**-5067,,
5068,LEO,,CHEN,1984-10-05,M,***-**-5068,,
5069,EMMA,,RIVERA,1976-08-01,F,***-**-5069,,
5070,NORA,,MARTIN,1961-04-08,F,***-**-5070,,
5071,AVA,,KELLY,1944-10-05,F,***-**-5071,,
5072,ROBERT,,SINGH,1999-08-19,M,***-**-5072,,
5073,ELI,,GARCIA,1961-11-11,M,***-**-5073,,
5074,SAM,,CHEN,1988-05-26,M,***-**-5074,,
5075,MARIA,,PARK,1996-07-12,F,***-**-5075,,
5076,ALAN,,LEE,1997-12-10,F,***-**-5076,,
5077,MARIA,,ZHOU,1956-11-20,F,***-**-5077,,
5078,AVA,,KIM,2000-04-06,M,***-**-5078,,
5079,MARIA,,ZHOU,1979-09-22,M,***-**-5079,,
5080,LIAM,,LEE,1981-07-28,F,***-**-5080,,
5081,ALAN,,DOE,1956-05-15,M,***-**-5081,,
5082,LUCY,,ZHOU,1955-12-27,M,***-**-5082,,
5083,MARIA,,ZHOU,1969-05-16,F,***-**-5083,,
5084,ETHAN,,LEE,1994-12-02,M,***-**-5084,,
5085,JANE,,LEE,1965-09-18,F,***-**-5085,,
5086,LEO,,LEE,1986-02-19,M,***-**-5086,,
5087,PAT,,CHEN,1993-12-09,F,***-**-5087,,
5088,NOAH,,BROWN,1962-12-24,M,***-**-5088,,
5089,NOAH,,GARCIA,1962-11-25,M,***-**-5089,,
5090,ROBERT,,GARCIA,1948-01-28,F,***-**-5090,,
5091,MIA,,KIM,1946-09-17,M,***-**-5091,,
5092,EMMA,,KELLY,1994-03-23,M,***-**-5092,,
5093,JOHN,,CHEN,1985-07-12,F,***-**-5093,,
5094,JANE,,BROWN,1975-03-28,F,***-**-5094,,
5095,ISLA,,KELLY,1954-08-09,M,***-**-5095,,
5096,JANE,,LEE,1948-06-07,M,***-**-5096,,
5097,BEN,,PARK,1952-10-10,F,***-**-5097,,
5098,LEO,,WEBB,1992-03-23,F,***-**-5098,,
5099,ETHAN,,RIVERA,1995-09-19,M,***-**-5099,,
5100,AVA,,KELLY,1980-05-02,F,***-**-5100,,
5101,LEO,,MARTIN,1976-01-06,F,***-**-5101,,
5102,ISLA,,SINGH,1956-10-11,M,***-**-5102,,
5103,NORA,,KIM,2000-04-23,M,***-**-5103,,
5104,JOHN,,HERNANDEZ,1996-08-09,F,***-**-5104,,
5105,LIAM,,KIM,1989-02-17,M,***-**-5105,,
5106,LEO,,GARCIA,1951-10-24,M,***-**-5106,,
5107,LIAM,,CHEN,1960-01-18,F,***-**-5107,,
5108,CHLOE,,RIVERA,1985-04-11,M,***-**-5108,,
5109,MIA,,CHEN,1970-08-12,M,***-**-5109,,
5110,EMMA,,KIM,1991-06-18,M,***-**-5110,,
5111,LEO,,WEBB,1955-11-20,F,***-**-5111,,
5112,ALAN,,HERNANDEZ,1985-01-28,M,***-**-5112,,
5113,LUCY,,PARK,1980-01-14,F,***-**-5113,,
5114,JANE,,HERNANDEZ,1949-02-25,F,***-**-5114,,
5115,ELI,,DOE,1944-12-15,M,***-**-5115,,
5116,SAM,,CHEN,1968-01-09,M,***-**-5116,,
5117,MIA,,SINGH,1961-05-26,F,***-**-5117,,
5118,ETHAN,,SINGH,1981-12-21,F,***-**-5118,,
5119,NORA,,CHEN,1993-08-04,F,***-**-5119,,
5120,LIAM,,MARTIN,1987-05-18,F,***-**-5120,,
5121,SAM,,LEE,1981-01-05,M,***-**-5121,,
5122,AVA,,PARK,1944-04-10,M,***-**-5122,,
5123,JOHN,,CHEN,1959-02-18,M,***-**-5123,,
5124,ELI,,WILSON,1948-01-04,M,***-**-5124,,
5125,ISLA,,BROWN,1967-07-13,M,***-**-5125,,
5126,JOHN,,MARTIN,1978-07-27,M,***-**-5126,,
5127,MIA,,LEE,1968-10-15,M,***-**-5127,,
5128,ISLA,,LEE,2000-02-23,M,***-**-5128,,
5129,JOHN,,PARK,1975-01-26,M,***-**-5129,,
5130,MARIA,,BROWN,1979-11-25,F,***-**-5130,,
5131,AVA,,BROWN,1946-10-28,M,***-**-5131,,
5132,JANE,,HERNANDEZ,1967-12-16,F,***-**-5132,,
5133,AVA,,WEBB,1989-09-19,M,***-**-5133,,
5134,LEO,,LEE,1986-02-02,M,***-**-5134,,
5135,CHLOE,,LEE,1973-04-12,F,***-**-5135,,
5136,LUCY,,RIVERA,1987-09-28,M,***-**-5136,,
5137,EMMA,,WEBB,1989-09-12,F,***-**-5137,,
5138,ELI,,KIM,2000-07-07,F,***-**-5138,,
5139,AVA,,WEBB,1973-09-12,M,***-**-5139,,
5140,LIAM,,GARCIA,1963-06-09,M,***-**-5140,,
5141,NOAH,,WILSON,1951-02-22,F,***-**-5141,,
5142,MARIA,,CHEN,1995-10-12,F,***-**-5142,,
5143,BEN,,KIM,1960-01-20,M,***-**-5143,,
5144,ELI,,PARK,1994-11-17,F,***-**-5144,,
5145,JOHN,,HERNANDEZ,1972-07-23,M,***-**-5145,,
5146,AVA,,LEE,1965-02-04,F,***-**-5146,,
5147,ELI,,SINGH,1963-12-04,M,***-**-5147,,
5148,NOAH,,KELLY,1977-06-09,F,***-**-5148,,
5149,AVA,,LEE,1956-05-07,M,***-**-5149,,
5150,BEN,,RIVERA,1997-01-05,F,***-**-5150,,
5151,CHLOE,,BROWN,1949-01-07,F,***-**-5151,,
5152,ALAN,,DOE,1977-07-08,M,***-**-5152,,
5153,EMMA,,RIVERA,1999-04-06,F,***-**-5153,,
5154,JANE,,SINGH,1968-08-25,M,***-**-5154,,
5155,AVA,,BROWN,1982-02-22,M,***-**-5155,,
5156,ISLA,,WEBB,1988-04-03,F,***-**-5156,,
5157,NOAH,,DOE,1992-02-09,F,***-**-5157,,
5158,ALAN,,WEBB,1950-07-14,M,***-**-5158,,
5159,JOHN,,DOE,1966-06-17,F,***-**-5159,,
5160,JOHN,,RIVERA,1958-05-18,F,***-**-5160,,
5161,JOHN,,DOE,1955-02-03,M,***-**-5161,,
5162,EMMA,,BROWN,1998-12-10,F,***-**-5162,,
5163,ALAN,,CHEN,1980-08-27,M,***-**-5163,,
5164,EMMA,,WEBB,1976-12-10,F,***-**-5164,,
5165,LUCY,,RIVERA,1969-04-28,M,***-**-5165,,
5166,ISLA,,CHEN,1988-05-16,M,***-**-5166,,
5167,LEO,,KELLY,1982-09-27,M,***-**-5167,,
5168,NORA,,KELLY,1997-02-25,F,***-**-5168,,
5169,PAT,,RIVERA,1961-03-27,F,***-**-5169,,
5170,PAT,,RIVERA,1974-01-26,M,***-**-5170,,
5171,NORA,,SINGH,1968-09-21,M,***-**-5171,,
5172,MARIA,,WEBB,1993-05-13,F,***-**-5172,,
5173,BEN,,SINGH,1960-12-27,M,***-**-5173,,
5174,MARIA,,CHEN,1962-03-19,M,***-**-5174,,
5175,PAT,,PARK,1980-02-11,M,***-**-5175,,
5176,PAT,,GARCIA,2000-01-19,M,***-**-5176,,
5177,MIA,,KIM,1992-07-18,M,***-**-5177,,
5178,ISLA,,BROWN,1960-04-26,M,***-**-5178,,
5179,JANE,,ZHOU,1969-04-27,F,***-**-5179,,
5180,ISLA,,PARK,1982-02-12,F,***-**-5180,,
